File to parse: ../Downloads/characters.901225-01.bin
02b8 00696 000 00 ........
02b9 00697 060 3c ..****..
02ba 00698 126 7e .******.
02bb 00699 102 66 .**..**.
02bc 00700 102 66 .**..**.
02bd 00701 126 7e .******.
02be 00702 060 3c ..****..
02bf 00703 000 00 ........

02c0 00704 024 18 ...**...
02c1 00705 024 18 ...**...
02c2 00706 102 66 .**..**.
02c3 00707 102 66 .**..**.
02c4 00708 024 18 ...**...
02c5 00709 024 18 ...**...
02c6 00710 060 3c ..****..
02c7 00711 000 00 ........

02c8 00712 006 06 .....**.
02c9 00713 006 06 .....**.
02ca 00714 006 06 .....**.
02cb 00715 006 06 .....**.
02cc 00716 006 06 .....**.
02cd 00717 006 06 .....**.
02ce 00718 006 06 .....**.
02cf 00719 006 06 .....**.

02d0 00720 008 08 ....*...
02d1 00721 028 1c ...***..
02d2 00722 062 3e ..*****.
02d3 00723 127 7f .*******
02d4 00724 062 3e ..*****.
02d5 00725 028 1c ...***..
02d6 00726 008 08 ....*...
02d7 00727 000 00 ........

02d8 00728 024 18 ...**...
02d9 00729 024 18 ...**...
02da 00730 024 18 ...**...
02db 00731 255 ff ********
02dc 00732 255 ff ********
02dd 00733 024 18 ...**...
02de 00734 024 18 ...**...
02df 00735 024 18 ...**...

02e0 00736 192 c0 **......
02e1 00737 192 c0 **......
02e2 00738 048 30 ..**....
02e3 00739 048 30 ..**....
02e4 00740 192 c0 **......
02e5 00741 192 c0 **......
02e6 00742 048 30 ..**....
02e7 00743 048 30 ..**....

02e8 00744 024 18 ...**...
02e9 00745 024 18 ...**...
02ea 00746 024 18 ...**...
02eb 00747 024 18 ...**...
02ec 00748 024 18 ...**...
02ed 00749 024 18 ...**...
02ee 00750 024 18 ...**...
02ef 00751 024 18 ...**...

02f0 00752 000 00 ........
02f1 00753 000 00 ........
02f2 00754 003 03 ......**
02f3 00755 062 3e ..*****.
02f4 00756 118 76 .***.**.
02f5 00757 054 36 ..**.**.
02f6 00758 054 36 ..**.**.
02f7 00759 000 00 ........

02f8 00760 255 ff ********
02f9 00761 127 7f .*******
02fa 00762 063 3f ..******
02fb 00763 031 1f ...*****
02fc 00764 015 0f ....****
02fd 00765 007 07 .....***
02fe 00766 003 03 ......**
02ff 00767 001 01 .......*

0300 00768 000 00 ........
0301 00769 000 00 ........
0302 00770 000 00 ........
0303 00771 000 00 ........
0304 00772 000 00 ........
0305 00773 000 00 ........
